Headlines,Time,Description,combined_text,clean_text
"Misinformation — not voting machine hacks — is biggest threat to 2020 election, FireEye CEO says"," 7:16  PM ET Tue,  5 Nov 2019",The cybersecurity executive says targeted campaigns to sway voters' opinions is what worries him ahead of the 2020 election.,"Misinformation — not voting machine hacks — is biggest threat to 2020 election, FireEye CEO says  7:16  PM ET Tue,  5 Nov 2019 The cybersecurity executive says targeted campaigns to sway voters' opinions is what worries him ahead of the 2020 election.",misinformation voting machine hacks biggest threat election fireeye ceo says pm et tue nov cybersecurity executive says targeted campaigns sway voters opinions worries ahead election
"Cramer's lightning round: Delta is good, but United Airlines is better"," 7:17  PM ET Tue,  5 Nov 2019","""Mad Money"" host Jim Cramer takes calls from viewers on their favorite stocks, such as Constellation Brands, and offers his advice.","Cramer's lightning round: Delta is good, but United Airlines is better  7:17  PM ET Tue,  5 Nov 2019 ""Mad Money"" host Jim Cramer takes calls from viewers on their favorite stocks, such as Constellation Brands, and offers his advice.",cramer lightning round delta good united airlines better pm et tue nov mad money host jim cramer takes calls viewers favorite stocks constellation brands offers advice
Jim Cramer: These are the 3 high-yield stocks that could drive the Dow higher," 7:33  PM ET Tue,  5 Nov 2019","The ""Mad Money"" host says Walgreens Boots Alliance, Dow Inc. and Verizon are worth keeping an eye on, based on Dan Fitzpatrick's technical analysis.","Jim Cramer: These are the 3 high-yield stocks that could drive the Dow higher  7:33  PM ET Tue,  5 Nov 2019 The ""Mad Money"" host says Walgreens Boots Alliance, Dow Inc. and Verizon are worth keeping an eye on, based on Dan Fitzpatrick's technical analysis.",jim cramer high yield stocks could drive dow higher pm et tue nov mad money host says walgreens boots alliance dow inc verizon worth keeping eye based dan fitzpatrick technical analysis
"This market is showing 'no mercy' to high-growth stocks in lieu of value names, Jim Cramer says"," 7:06  PM ET Tue,  5 Nov 2019","""At this pace, value will soon be regarded as expensive, and the growth stocks"" that were shown no mercy will look cheap, ""Mad Money"" host Jim Cramer says.","This market is showing 'no mercy' to high-growth stocks in lieu of value names, Jim Cramer says  7:06  PM ET Tue,  5 Nov 2019 ""At this pace, value will soon be regarded as expensive, and the growth stocks"" that were shown no mercy will look cheap, ""Mad Money"" host Jim Cramer says.",market showing mercy high growth stocks lieu value names jim cramer says pm et tue nov pace value soon regarded expensive growth stocks shown mercy look cheap mad money host jim cramer says
"Everything Jim Cramer said on 'Mad Money,' including record highs, trade talks, Wayfair's bad stock"," 8:02  PM ET Mon,  4 Nov 2019","CNBC's Jim Cramer breaks down how Wall Street rallied to new highs, says he's skeptical about China trade talks, steers investors clear of Wayfair's stock price and sits down with the CEO of OjO Electric.","Everything Jim Cramer said on 'Mad Money,' including record highs, trade talks, Wayfair's bad stock  8:02  PM ET Mon,  4 Nov 2019 CNBC's Jim Cramer breaks down how Wall Street rallied to new highs, says he's skeptical about China trade talks, steers investors clear of Wayfair's stock price and sits down with the CEO of OjO Electric.",everything jim cramer said mad money including record highs trade talks wayfair bad stock pm et mon nov cnbc jim cramer breaks wall street rallied new highs says skeptical china trade talks steers investors clear wayfair stock price sits ceo ojo electric
Cramer's lightning round: The market does not like Okta right now," 7:48  PM ET Mon,  4 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: The market does not like Okta right now  7:48  PM ET Mon,  4 Nov 2019 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round market like okta right pm et mon nov mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
How electric scooter company OjO plans to shake up the food delivery industry," 6:58  PM ET Mon,  4 Nov 2019",OjO Electric is trying to differentiate itself from larger rivals such as Bird and Lime by offering rideshare scooters with seats.,"How electric scooter company OjO plans to shake up the food delivery industry  6:58  PM ET Mon,  4 Nov 2019 OjO Electric is trying to differentiate itself from larger rivals such as Bird and Lime by offering rideshare scooters with seats.",electric scooter company ojo plans shake food delivery industry pm et mon nov ojo electric trying differentiate larger rivals bird lime offering rideshare scooters seats
Jim Cramer: I'm 'suspicious' of the 'trade truce happy talk' with China," 6:58  PM ET Mon,  4 Nov 2019","""I think we'd better see some action soon, or we'll have to become more circumspect about the negotiations,"" CNBC's Jim Cramer says.","Jim Cramer: I'm 'suspicious' of the 'trade truce happy talk' with China  6:58  PM ET Mon,  4 Nov 2019 ""I think we'd better see some action soon, or we'll have to become more circumspect about the negotiations,"" CNBC's Jim Cramer says.",jim cramer suspicious trade truce happy talk china pm et mon nov think better see action soon become circumspect negotiations cnbc jim cramer says
"Stay away from Wayfair's 'toxic' stock, Jim Cramer says"," 6:36  PM ET Mon,  4 Nov 2019","The ""Mad Money"" host says Wall Street has lost its patience for Wayfair as the online furniture retailer continues to rack up losses.","Stay away from Wayfair's 'toxic' stock, Jim Cramer says  6:36  PM ET Mon,  4 Nov 2019 The ""Mad Money"" host says Wall Street has lost its patience for Wayfair as the online furniture retailer continues to rack up losses.",stay away wayfair toxic stock jim cramer says pm et mon nov mad money host says wall street lost patience wayfair online furniture retailer continues rack losses
Jim Cramer: The same obstacles that scared investors drove the market to record highs," 6:12  PM ET Mon,  4 Nov 2019","""The panicked money managers ... represent the fuel that this market needs to go higher, and right now this rally [has] fuel in spades,"" CNBC's Jim Cramer says.","Jim Cramer: The same obstacles that scared investors drove the market to record highs  6:12  PM ET Mon,  4 Nov 2019 ""The panicked money managers ... represent the fuel that this market needs to go higher, and right now this rally [has] fuel in spades,"" CNBC's Jim Cramer says.",jim cramer obstacles scared investors drove market record highs pm et mon nov panicked money managers represent fuel market needs go higher right rally fuel spades cnbc jim cramer says
"Everything Jim Cramer said on 'Mad Money,' including no recession signs, homebuilder stocks to buy"," 8:43  PM ET Fri,  1 Nov 2019","CNBC's Jim Cramer says October's jobs report helped close the lid on recession fears, gives a preview of the week ahead in earnings, breaks down the rally in the home construction sector and targets analysts he says misjudged GrubHub.","Everything Jim Cramer said on 'Mad Money,' including no recession signs, homebuilder stocks to buy  8:43  PM ET Fri,  1 Nov 2019 CNBC's Jim Cramer says October's jobs report helped close the lid on recession fears, gives a preview of the week ahead in earnings, breaks down the rally in the home construction sector and targets analysts he says misjudged GrubHub.",everything jim cramer said mad money including recession signs homebuilder stocks buy pm et fri nov cnbc jim cramer says october jobs report helped close lid recession fears gives preview week ahead earnings breaks rally home construction sector targets analysts says misjudged grubhub
,,,  ,
Cramer's week ahead: Expect more record market highs on another week of earnings," 7:17  PM ET Fri,  1 Nov 2019","""Mad Money"" host Jim Cramer previews what's to come in another week of earnings as the market makes another attempt to break past its highs.","Cramer's week ahead: Expect more record market highs on another week of earnings  7:17  PM ET Fri,  1 Nov 2019 ""Mad Money"" host Jim Cramer previews what's to come in another week of earnings as the market makes another attempt to break past its highs.",cramer week ahead expect record market highs another week earnings pm et fri nov mad money host jim cramer previews come another week earnings market makes another attempt break past highs
Cramer's lighting round: Buy these stocks to play the 5G rollout," 7:07  PM ET Fri,  1 Nov 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lighting round: Buy these stocks to play the 5G rollout  7:07  PM ET Fri,  1 Nov 2019 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lighting round buy stocks play g rollout pm et fri nov mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"What Wall Street analysts got wrong about GrubHub, according to Jim Cramer"," 6:36  PM ET Fri,  1 Nov 2019","""The most common refrain here is that the industry's much more competitive than they'd been led to believe,"" Jim Cramer says.","What Wall Street analysts got wrong about GrubHub, according to Jim Cramer  6:36  PM ET Fri,  1 Nov 2019 ""The most common refrain here is that the industry's much more competitive than they'd been led to believe,"" Jim Cramer says.",wall street analysts got wrong grubhub according jim cramer pm et fri nov common refrain industry much competitive led believe jim cramer says
"Treat the pullback in homebuilder stocks as an opportunity to 'pounce,' Jim Cramer says"," 7:37  PM ET Fri,  1 Nov 2019","The homebuilders have pulled back from their highs, and ""I think you're getting a chance to pounce again,"" ""Mad Money"" host Jim Cramer says.","Treat the pullback in homebuilder stocks as an opportunity to 'pounce,' Jim Cramer says  7:37  PM ET Fri,  1 Nov 2019 The homebuilders have pulled back from their highs, and ""I think you're getting a chance to pounce again,"" ""Mad Money"" host Jim Cramer says.",treat pullback homebuilder stocks opportunity pounce jim cramer says pm et fri nov homebuilders pulled back highs think getting chance pounce mad money host jim cramer says
Stocks surge on strong jobs report—here's what top economists are saying," 1:12  PM ET Fri,  1 Nov 2019","Stocks jumped on a stronger-than-expected jobs report, and experts are largely taking the upside surprise as a positive sign.","Stocks surge on strong jobs report—here's what top economists are saying  1:12  PM ET Fri,  1 Nov 2019 Stocks jumped on a stronger-than-expected jobs report, and experts are largely taking the upside surprise as a positive sign.",stocks surge strong jobs report top economists saying pm et fri nov stocks jumped stronger expected jobs report experts largely taking upside surprise positive sign
"Everything Jim Cramer said on 'Mad Money,' including stock picks, Fed and China chatter, Smarties"," 2:07  PM ET Fri,  1 Nov 2019","CNBC's Jim Cramer reveals stocks worth buying after Thursday's market decline, breaks down emerging Fed and China trade worries, and sits down with top brass of Columbia Sportswear, Smarties and Eurazeo.","Everything Jim Cramer said on 'Mad Money,' including stock picks, Fed and China chatter, Smarties  2:07  PM ET Fri,  1 Nov 2019 CNBC's Jim Cramer reveals stocks worth buying after Thursday's market decline, breaks down emerging Fed and China trade worries, and sits down with top brass of Columbia Sportswear, Smarties and Eurazeo.",everything jim cramer said mad money including stock picks fed china chatter smarties pm et fri nov cnbc jim cramer reveals stocks worth buying thursday market decline breaks emerging fed china trade worries sits top brass columbia sportswear smarties eurazeo
,,,  ,
Jim Cramer says investors should view Thursday's market pullback 'as a gift'," 7:12  PM ET Thu, 31 Oct 2019","The market's throwing a sale that it doesn't need to throw,"" ""Mad Money"" host Jim Cramer says.","Jim Cramer says investors should view Thursday's market pullback 'as a gift'  7:12  PM ET Thu, 31 Oct 2019 The market's throwing a sale that it doesn't need to throw,"" ""Mad Money"" host Jim Cramer says.",jim cramer says investors view thursday market pullback gift pm et thu oct market throwing sale need throw mad money host jim cramer says
Columbia Sportswear CEO: There are better 'sourcing countries' than China," 7:12  PM ET Thu, 31 Oct 2019","Columbia Sportswear CEO Tim Doyle talks shifting apparel factories away from China, telling CNBC ""there's been better opportunities in other sourcing countries.""","Columbia Sportswear CEO: There are better 'sourcing countries' than China  7:12  PM ET Thu, 31 Oct 2019 Columbia Sportswear CEO Tim Doyle talks shifting apparel factories away from China, telling CNBC ""there's been better opportunities in other sourcing countries.""",columbia sportswear ceo better sourcing countries china pm et thu oct columbia sportswear ceo tim doyle talks shifting apparel factories away china telling cnbc better opportunities sourcing countries
Cramer's lightning round: The oil stocks are 'just a bummer'," 6:47  PM ET Thu, 31 Oct 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: The oil stocks are 'just a bummer'  6:47  PM ET Thu, 31 Oct 2019 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round oil stocks bummer pm et thu oct mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"Everything Jim Cramer said on 'Mad Money,' including Apple and Facebook earnings"," 7:57  PM ET Wed, 30 Oct 2019","CNBC's Jim Cramer reveals two things that worries him about affecting tech industry, checks in with Wingstop CEO after its latest quarterly earnings, says Spotify is a buy and makes predictions for Biogen.","Everything Jim Cramer said on 'Mad Money,' including Apple and Facebook earnings  7:57  PM ET Wed, 30 Oct 2019 CNBC's Jim Cramer reveals two things that worries him about affecting tech industry, checks in with Wingstop CEO after its latest quarterly earnings, says Spotify is a buy and makes predictions for Biogen.",everything jim cramer said mad money including apple facebook earnings pm et wed oct cnbc jim cramer reveals two things worries affecting tech industry checks wingstop ceo latest quarterly earnings says spotify buy makes predictions biogen
Jim Cramer: Investors must consider these two critical factors affecting Facebook and Apple," 7:45  PM ET Wed, 30 Oct 2019","""I'm sensing some skepticism ... creeping in about both of them and I suspect some of it has to do with twin constraints of time and government,"" CNBC's Jim Cramer says.","Jim Cramer: Investors must consider these two critical factors affecting Facebook and Apple  7:45  PM ET Wed, 30 Oct 2019 ""I'm sensing some skepticism ... creeping in about both of them and I suspect some of it has to do with twin constraints of time and government,"" CNBC's Jim Cramer says.",jim cramer investors must consider two critical factors affecting facebook apple pm et wed oct sensing skepticism creeping suspect twin constraints time government cnbc jim cramer says
Cramer: This biotech stock could be worth over $100 billion on an FDA approval," 7:36  PM ET Wed, 30 Oct 2019","Biogen, with a $54.1 billion market cap, ""could be worth twice that if all goes well"" with regulators, Jim Cramer says.","Cramer: This biotech stock could be worth over $100 billion on an FDA approval  7:36  PM ET Wed, 30 Oct 2019 Biogen, with a $54.1 billion market cap, ""could be worth twice that if all goes well"" with regulators, Jim Cramer says.",cramer biotech stock could worth billion fda approval pm et wed oct biogen billion market cap could worth twice goes well regulators jim cramer says
Cramer's lightning round: Marvell Technology is the best play on 5G," 7:16  PM ET Wed, 30 Oct 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Marvell Technology is the best play on 5G  7:16  PM ET Wed, 30 Oct 2019 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round marvell technology best play g pm et wed oct mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Jim Cramer: Spotify has 'no bear case' after 'game changer' quarter," 6:44  PM ET Wed, 30 Oct 2019","""When you drill down, it is clear that Spotify is firing on all cylinders. There is no bear case that I can find now,"" ""Mad Money"" host Jim Cramer says.","Jim Cramer: Spotify has 'no bear case' after 'game changer' quarter  6:44  PM ET Wed, 30 Oct 2019 ""When you drill down, it is clear that Spotify is firing on all cylinders. There is no bear case that I can find now,"" ""Mad Money"" host Jim Cramer says.",jim cramer spotify bear case game changer quarter pm et wed oct drill clear spotify firing cylinders bear case find mad money host jim cramer says
"Wingstop CEO bets on advertising, digital and delivery in the wing chain's 'bright future'"," 7:08  PM ET Wed, 30 Oct 2019","Wingstop has a ""lot of runway for growth not only here in the U.S., but across the world,"" CEO Charlie Morrison tells ""Mad Money's"" Jim Cramer.","Wingstop CEO bets on advertising, digital and delivery in the wing chain's 'bright future'  7:08  PM ET Wed, 30 Oct 2019 Wingstop has a ""lot of runway for growth not only here in the U.S., but across the world,"" CEO Charlie Morrison tells ""Mad Money's"" Jim Cramer.",wingstop ceo bets advertising digital delivery wing chain bright future pm et wed oct wingstop lot runway growth u across world ceo charlie morrison tells mad money jim cramer
"Everything Jim Cramer said on 'Mad Money,' including Uber lockup, 'junk' Chinese IPOs, buy Twitter"," 7:42  PM ET Tue, 29 Oct 2019","CNBC's Jim Cramer warns of a ""very rude awakening"" due to looming lockup expirations, urges Wall Street to stop allowing ""junk"" Chinese IPOs, calls Twitter's stock a buy and sits down with Zebra Technologies CEO Anders Gustafsson.","Everything Jim Cramer said on 'Mad Money,' including Uber lockup, 'junk' Chinese IPOs, buy Twitter  7:42  PM ET Tue, 29 Oct 2019 CNBC's Jim Cramer warns of a ""very rude awakening"" due to looming lockup expirations, urges Wall Street to stop allowing ""junk"" Chinese IPOs, calls Twitter's stock a buy and sits down with Zebra Technologies CEO Anders Gustafsson.",everything jim cramer said mad money including uber lockup junk chinese ipos buy twitter pm et tue oct cnbc jim cramer warns rude awakening due looming lockup expirations urges wall street stop allowing junk chinese ipos calls twitter stock buy sits zebra technologies ceo anders gustafsson
Zebra Technologies CEO: We're moving more supply chains out of China as new tariffs loom," 6:55  PM ET Tue, 29 Oct 2019","""They're going into existing facilities, so we think the start-up issue should be minimal,"" CEO Anders Gustafsson says.","Zebra Technologies CEO: We're moving more supply chains out of China as new tariffs loom  6:55  PM ET Tue, 29 Oct 2019 ""They're going into existing facilities, so we think the start-up issue should be minimal,"" CEO Anders Gustafsson says.",zebra technologies ceo moving supply chains china new tariffs loom pm et tue oct going existing facilities think start issue minimal ceo anders gustafsson says
Cramer's lightning round: Don't expect anything great from GE's quarter," 6:47  PM ET Tue, 29 Oct 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: Don't expect anything great from GE's quarter  6:47  PM ET Tue, 29 Oct 2019 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round expect anything great ge quarter pm et tue oct mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"Uber's lockup expiration could 'hobble the entire market' even more than Beyond Meat, Cramer warns"," 6:34  PM ET Tue, 29 Oct 2019","CNBC's Jim Cramer warns of a ""very rude awakening"" as a deluge of equity supply comes to market with little investor appetite.","Uber's lockup expiration could 'hobble the entire market' even more than Beyond Meat, Cramer warns  6:34  PM ET Tue, 29 Oct 2019 CNBC's Jim Cramer warns of a ""very rude awakening"" as a deluge of equity supply comes to market with little investor appetite.",uber lockup expiration could hobble entire market even beyond meat cramer warns pm et tue oct cnbc jim cramer warns rude awakening deluge equity supply comes market little investor appetite
Jim Cramer says a company 'will try to acquire' Twitter if the stock keeps tumbling," 6:28  PM ET Tue, 29 Oct 2019","""The last time this stock had a major meltdown, it found a floor of support at $27 to $28, which is one more reason to start buying right here at $29 and change,"" CNBC's Jim Cramer says.","Jim Cramer says a company 'will try to acquire' Twitter if the stock keeps tumbling  6:28  PM ET Tue, 29 Oct 2019 ""The last time this stock had a major meltdown, it found a floor of support at $27 to $28, which is one more reason to start buying right here at $29 and change,"" CNBC's Jim Cramer says.",jim cramer says company try acquire twitter stock keeps tumbling pm et tue oct last time stock major meltdown found floor support one reason start buying right change cnbc jim cramer says
,,,  ,
"Everything Jim Cramer said on 'Mad Money,' including S&P 500 highs, Microsoft JEDI contract, consumer","11:06  AM ET Tue, 29 Oct 2019","CNBC's Jim Cramer breaks down what's driving the market toward all-time highs, explains what the $10 billion JEDI contract means for Microsoft's cloud services and lays out the signs of the strong consumer economy.","Everything Jim Cramer said on 'Mad Money,' including S&P 500 highs, Microsoft JEDI contract, consumer 11:06  AM ET Tue, 29 Oct 2019 CNBC's Jim Cramer breaks down what's driving the market toward all-time highs, explains what the $10 billion JEDI contract means for Microsoft's cloud services and lays out the signs of the strong consumer economy.",everything jim cramer said mad money including p highs microsoft jedi contract consumer et tue oct cnbc jim cramer breaks driving market toward time highs explains billion jedi contract means microsoft cloud services lays signs strong consumer economy
Jim Cramer: 5 reasons why cyclical stocks are showing resilience and may go higher," 8:16  PM ET Mon, 28 Oct 2019","""Normally these stocks get hammered in the wake of a shortfall, yet this quarter they're more likely to rally,"" Jim Cramer says.","Jim Cramer: 5 reasons why cyclical stocks are showing resilience and may go higher  8:16  PM ET Mon, 28 Oct 2019 ""Normally these stocks get hammered in the wake of a shortfall, yet this quarter they're more likely to rally,"" Jim Cramer says.",jim cramer reasons cyclical stocks showing resilience may go higher pm et mon oct normally stocks get hammered wake shortfall yet quarter likely rally jim cramer says
"JEDI contract means a lot more for Microsoft than for Amazon, Jim Cramer says"," 7:13  PM ET Mon, 28 Oct 2019","""The Pentagon's basically saying that Microsoft's cloud platform is just as good as Amazon's, or at least close enough for government work,"" Jim Cramer says.","JEDI contract means a lot more for Microsoft than for Amazon, Jim Cramer says  7:13  PM ET Mon, 28 Oct 2019 ""The Pentagon's basically saying that Microsoft's cloud platform is just as good as Amazon's, or at least close enough for government work,"" Jim Cramer says.",jedi contract means lot microsoft amazon jim cramer says pm et mon oct pentagon basically saying microsoft cloud platform good amazon least close enough government work jim cramer says
"Cramer's lightning round: Wendy's is in 'good shape,' shares are oversold"," 6:50  PM ET Mon, 28 Oct 2019","Jim Cramer opines to the stocks of Albemarle, Iron Mountain, Realogy Holdings, Wendy's, CME Group, Annaly Capital and Hershey.","Cramer's lightning round: Wendy's is in 'good shape,' shares are oversold  6:50  PM ET Mon, 28 Oct 2019 Jim Cramer opines to the stocks of Albemarle, Iron Mountain, Realogy Holdings, Wendy's, CME Group, Annaly Capital and Hershey.",cramer lightning round wendy good shape shares oversold pm et mon oct jim cramer opines stocks albemarle iron mountain realogy holdings wendy cme group annaly capital hershey
Jim Cramer says performances of these luxury brand names show the 'consumer's in great shape'," 6:42  PM ET Mon, 28 Oct 2019","Cramer looks at top names in the consumer discretionary sector, which includes nonessential goods and services such as motor homes and cruises.","Jim Cramer says performances of these luxury brand names show the 'consumer's in great shape'  6:42  PM ET Mon, 28 Oct 2019 Cramer looks at top names in the consumer discretionary sector, which includes nonessential goods and services such as motor homes and cruises.",jim cramer says performances luxury brand names show consumer great shape pm et mon oct cramer looks top names consumer discretionary sector includes nonessential goods services motor homes cruises
Jim Cramer breaks down what's driving the stock market's rally toward all-time highs," 6:26  PM ET Mon, 28 Oct 2019","""Without strong demand, the averages never would have made it this far,"" ""Mad Money"" host Jim Cramer says.","Jim Cramer breaks down what's driving the stock market's rally toward all-time highs  6:26  PM ET Mon, 28 Oct 2019 ""Without strong demand, the averages never would have made it this far,"" ""Mad Money"" host Jim Cramer says.",jim cramer breaks driving stock market rally toward time highs pm et mon oct without strong demand averages never would made far mad money host jim cramer says
,,,  ,
"Cramer's week ahead: Alphabet, Beyond Meat, GM, Facebook and Apple earnings — plus the Fed"," 7:33  PM ET Fri, 25 Oct 2019","""After the genuinely better-than-expected numbers we saw this week, I'm confident about next week,"" CNBC's Jim Cramer says.","Cramer's week ahead: Alphabet, Beyond Meat, GM, Facebook and Apple earnings — plus the Fed  7:33  PM ET Fri, 25 Oct 2019 ""After the genuinely better-than-expected numbers we saw this week, I'm confident about next week,"" CNBC's Jim Cramer says.",cramer week ahead alphabet beyond meat gm facebook apple earnings plus fed pm et fri oct genuinely better expected numbers saw week confident next week cnbc jim cramer says
"Everything Jim Cramer said 'Mad Money,' including next week's earnings, American Airlines CEO"," 7:33  PM ET Fri, 25 Oct 2019","CNBC's Jim Cramer prepares for the week ahead in earnings reports, sits down with American Airlines CEO Doug Parker to discuss 737 Max issues, and breaks down the results of Honeywell's 2018 spinoff.","Everything Jim Cramer said 'Mad Money,' including next week's earnings, American Airlines CEO  7:33  PM ET Fri, 25 Oct 2019 CNBC's Jim Cramer prepares for the week ahead in earnings reports, sits down with American Airlines CEO Doug Parker to discuss 737 Max issues, and breaks down the results of Honeywell's 2018 spinoff.",everything jim cramer said mad money including next week earnings american airlines ceo pm et fri oct cnbc jim cramer prepares week ahead earnings reports sits american airlines ceo doug parker discuss max issues breaks results honeywell spinoff
Cramer's lightning round: I don't want to be in Del Taco when McDonald's is down," 7:09  PM ET Fri, 25 Oct 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning round: I don't want to be in Del Taco when McDonald's is down  7:09  PM ET Fri, 25 Oct 2019 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning round want del taco mcdonald pm et fri oct mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
Sallie Krawcheck: 'More money in the hands of women' is one of the best ways to improve the economy," 6:57  PM ET Fri, 25 Oct 2019","The world of financial services isn't as gender-inclusive as it should be, but Wall Street insider Sallie Krawcheck is trying to change that.","Sallie Krawcheck: 'More money in the hands of women' is one of the best ways to improve the economy  6:57  PM ET Fri, 25 Oct 2019 The world of financial services isn't as gender-inclusive as it should be, but Wall Street insider Sallie Krawcheck is trying to change that.",sallie krawcheck money hands women one best ways improve economy pm et fri oct world financial services gender inclusive wall street insider sallie krawcheck trying change
"Assessing the Honeywell spinoff one year later — stocks to buy and not, according to Jim Cramer"," 7:10  PM ET Fri, 25 Oct 2019","""Honeywell's a very smart company,"" and if it ""didn't want exposure to autos and climate control here, then maybe you shouldn't want it either,"" CNBC's Jim Cramer says.","Assessing the Honeywell spinoff one year later — stocks to buy and not, according to Jim Cramer  7:10  PM ET Fri, 25 Oct 2019 ""Honeywell's a very smart company,"" and if it ""didn't want exposure to autos and climate control here, then maybe you shouldn't want it either,"" CNBC's Jim Cramer says.",assessing honeywell spinoff one year later stocks buy according jim cramer pm et fri oct honeywell smart company want exposure autos climate control maybe want either cnbc jim cramer says
"American Airlines CEO says 737 Max 'damages' should hit Boeing shareholders, not American's"," 6:33  PM ET Fri, 25 Oct 2019","""The reality is this: We've already borne all sorts of damages to our customers, to our team and to our shareholders,"" American Airlines CEO Doug Parker says.","American Airlines CEO says 737 Max 'damages' should hit Boeing shareholders, not American's  6:33  PM ET Fri, 25 Oct 2019 ""The reality is this: We've already borne all sorts of damages to our customers, to our team and to our shareholders,"" American Airlines CEO Doug Parker says.",american airlines ceo says max damages hit boeing shareholders american pm et fri oct reality already borne sorts damages customers team shareholders american airlines ceo doug parker says
S&P returns could be 'quite low' for the next few years: Investor," 4:30  AM ET Fri, 25 Oct 2019","Chad Morganlander of Washington Crossing Advisors says he expects S&P 500 returns to be between 5% and 6% for the next five to seven years, and that's low from a historical perspective.","S&P returns could be 'quite low' for the next few years: Investor  4:30  AM ET Fri, 25 Oct 2019 Chad Morganlander of Washington Crossing Advisors says he expects S&P 500 returns to be between 5% and 6% for the next five to seven years, and that's low from a historical perspective.",p returns could quite low next years investor et fri oct chad morganlander washington crossing advisors says expects p returns next five seven years low historical perspective
"Everything Jim Cramer said on 'Mad Money,' including earnings, China winners, Centene CEO","12:14  PM ET Fri, 25 Oct 2019","CNBC's Jim Cramer helps investors understand what to add to their portfolios, explains what software stocks are safe to buy here and sits down with Centene CEO Michael Neidorff to talk health care, among other topics.","Everything Jim Cramer said on 'Mad Money,' including earnings, China winners, Centene CEO 12:14  PM ET Fri, 25 Oct 2019 CNBC's Jim Cramer helps investors understand what to add to their portfolios, explains what software stocks are safe to buy here and sits down with Centene CEO Michael Neidorff to talk health care, among other topics.",everything jim cramer said mad money including earnings china winners centene ceo pm et fri oct cnbc jim cramer helps investors understand add portfolios explains software stocks safe buy sits centene ceo michael neidorff talk health care among topics
"Some software stocks are worth buying on the pullback, according to Jim Cramer","10:17  AM ET Fri, 25 Oct 2019","""Today the cloud stocks proved they can bounce, and ... I think you can start gradually ... buying the highest quality names here,"" the ""Mad Money"" host says.","Some software stocks are worth buying on the pullback, according to Jim Cramer 10:17  AM ET Fri, 25 Oct 2019 ""Today the cloud stocks proved they can bounce, and ... I think you can start gradually ... buying the highest quality names here,"" the ""Mad Money"" host says.",software stocks worth buying pullback according jim cramer et fri oct today cloud stocks proved bounce think start gradually buying highest quality names mad money host says
Cramer's lightning: Aurora is just a speculative stock," 7:33  PM ET Thu, 24 Oct 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.","Cramer's lightning: Aurora is just a speculative stock  7:33  PM ET Thu, 24 Oct 2019 ""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramer lightning aurora speculative stock pm et thu oct mad money host jim cramer rings lightning round bell means giving answers callers stock questions rapid speed
"How to decipher stocks worth owning this earnings season, according to Jim Cramer"," 6:43  PM ET Thu, 24 Oct 2019","CNBC's Jim Cramer breaks down the ""buckets [investors] need to be sorting"" stocks into this earnings season as global growth slows.","How to decipher stocks worth owning this earnings season, according to Jim Cramer  6:43  PM ET Thu, 24 Oct 2019 CNBC's Jim Cramer breaks down the ""buckets [investors] need to be sorting"" stocks into this earnings season as global growth slows.",decipher stocks worth owning earnings season according jim cramer pm et thu oct cnbc jim cramer breaks buckets investors need sorting stocks earnings season global growth slows
